Designator,Mid X,Mid Y,Rotation,Layer
C1,57.05,-8.55,180,top
C2,51.55,-5.05,270,top
C3,39.75,-15.975,90,top
C4,14.05,-15.05,270,top
C5,16.05,-15.05,270,top
C6,18.05,-15.05,270,top
C7,21.05,-15.05,270,top
D1,20.55,-7.8,0,top
D2,37.025,-2.55,0,top
D3,57.05,-12.05,180,top
D4,65.9,-10.15,0,top
D5,75.3,-2.55,0,top
D6,64.05,-5.45,270,top
D7,9.95,-14.45,270,top
F1,8.05,-17.8,0,top
J1,-3.95,-10.05,180,top
J4,75.55,-12.05,0,top
Q1,58.8,-17.3,180,top
R1,15.05,-3.55,270,top
R10,49.25,-15.05,90,top
R11,50.45,-18.05,180,top
R12,54.55,-18.05,0,top
R13,47.025,-5.55,180,top
R14,41.8,-5.65,180,top
R15,70.275,-2.55,180,top
R16,63.875,-2.575,0,top
R2,17.55,-3.55,270,top
R3,20.05,-3.55,270,top
R4,22.55,-3.55,270,top
R5,36.85,-17.25,180,top
R6,36.39,-10.08,270,top
R7,41.8,-2.55,180,top
R8,37.1,-5.65,0,top
R9,51.45,-15.05,90,top
U1,29.05,-6.05,0,top
U2,29.05,-14.05,180,top
U3,45.05,-12.3,180,top
U4,57.3,-4.55,270,top
U5,15.05,-10.05,270,top
